plant_id,Row,Range,Row_Range,id,area_calculation
20RITI20312,4,12,4_12,202,1.234978016
20RITI20412,5,12,5_12,203,1.338536239
20RITI20512,6,12,6_12,204,1.18408835
20RITI20612,7,12,7_12,205,1.364659766
20RITI20712,8,12,8_12,206,1.470261811
20RITI20812,9,12,9_12,207,1.493671951
20RITI20912,10,12,10_12,208,1.480617831
20RITI21012,11,12,11_12,209,1.295989541
20RITI21112,12,12,12_12,210,1.351819493
20RITI21212,13,12,13_12,211,1.519333476
20RITI21312,14,12,14_12,212,1.420942632
20RITI21412,15,12,15_12,213,1.419146299
20RITI21512,16,12,16_12,214,1.536906109
20RITI21612,17,12,17_12,215,1.88724436
20RITI21712,18,12,18_12,216,1.438055347
20RITI20013,1,13,1_13,217,1.374114751
20RITI20113,2,13,2_13,218,1.024903438
20RITI20213,3,13,3_13,219,1.512591921
20RITI20313,4,13,4_13,220,1.212684307
20RITI20413,5,13,5_13,221,1.454270398
20RITI20513,6,13,6_13,222,1.512588075
20RITI20613,7,13,7_13,223,1.317157359
20RITI20713,8,13,8_13,224,1.400014836
20RITI20813,9,13,9_13,225,1.233392285
20RITI20913,10,13,10_13,226,1.297774904
20RITI21013,11,13,11_13,227,1.473401888
20RITI21113,12,13,12_13,228,1.391002032
20RITI21213,13,13,13_13,229,1.453131641
20RITI21313,14,13,14_13,230,1.195348978
20RITI21413,15,13,15_13,231,1.628753633
20RITI21513,16,13,16_13,232,1.330670471
20RITI21613,17,13,17_13,233,1.454951845
20RITI21713,18,13,18_13,234,1.276398738
20RITI20014,1,14,1_14,235,1.479945273
20RITI20114,2,14,2_14,236,1.403829256
20RITI20214,3,14,3_14,237,1.609630071
20RITI20314,4,14,4_14,238,1.193764547
20RITI20414,5,14,5_14,239,1.620205917
20RITI20514,6,14,6_14,240,1.563915115
20RITI20614,7,14,7_14,241,1.378403135
20RITI20714,8,14,8_14,242,1.544771613
20RITI20814,9,14,9_14,243,1.316479099
20RITI20914,10,14,10_14,244,1.376817507
20RITI21014,11,14,11_14,245,1.557167884
20RITI21114,12,14,12_14,246,1.313314965
20RITI21214,13,14,13_14,247,1.611429818
20RITI21314,14,14,14_14,248,1.366908821
20RITI21414,15,14,15_14,249,1.163367463
20RITI21514,16,14,16_14,250,1.585080533
20RITI21614,17,14,17_14,251,1.579004137
20RITI21714,18,14,18_14,252,1.278417795
20RITI20015,1,15,1_15,253,1.461244881
20RITI20115,2,15,2_15,254,1.456517433
20RITI20215,3,15,3_15,255,1.747198014
20RITI20315,4,15,4_15,256,1.373205181
20RITI20415,5,15,5_15,257,1.689103835
20RITI20515,6,15,6_15,258,1.394157876
20RITI20615,7,15,7_15,259,1.279774677
20RITI20715,8,15,8_15,260,1.524521869
20RITI20815,9,15,9_15,261,1.401588165
20RITI20915,10,15,10_15,262,1.456746464
20RITI21015,11,15,11_15,263,1.558066229
20RITI21115,12,15,12_15,264,1.318505647
20RITI21215,13,15,13_15,265,1.617286297
20RITI21315,14,15,14_15,266,1.338771193
20RITI21415,15,15,15_15,267,1.397310167
20RITI21515,16,15,16_15,268,1.571800385
20RITI21615,17,15,17_15,269,1.466423728
20RITI21715,18,15,18_15,270,1.155713428
20RITI20016,1,16,1_16,271,1.407671406
20RITI20116,2,16,2_16,272,1.293279771
20RITI20216,3,16,3_16,273,1.36331467
20RITI20316,4,16,4_16,274,1.415995549
20RITI20416,5,16,5_16,275,1.191062015
20RITI20516,6,16,6_16,276,1.373219295
20RITI20616,7,16,7_16,277,0.826999183
20RITI20716,8,16,8_16,278,1.390996247
20RITI20816,9,16,9_16,279,1.344388432
20RITI20916,10,16,10_16,280,1.320088119
20RITI21016,11,16,11_16,281,1.321427714
20RITI21116,12,16,12_16,282,1.331556042
20RITI21216,13,16,13_16,283,1.549955425
20RITI21316,14,16,14_16,284,1.35835503
20RITI21416,15,16,15_16,285,1.399556515
20RITI21516,16,16,16_16,286,1.523611089
20RITI21616,17,16,17_16,287,1.658256362
20RITI21716,18,16,18_16,288,1.570442996
20RITI20017,1,17,1_17,289,1.32683058
20RITI20117,2,17,2_17,290,1.091543154
20RITI20217,3,17,3_17,291,1.351818773
20RITI20317,4,17,4_17,292,1.377270767
20RITI20417,5,17,5_17,293,1.455157422
20RITI20517,6,17,6_17,294,1.204797761
20RITI20617,7,17,7_17,295,1.250058615
20RITI20717,8,17,8_17,296,1.434679011
20RITI20817,9,17,9_17,297,1.336055652
20RITI20917,10,17,10_17,298,1.274820079
20RITI21017,11,17,11_17,299,1.256807856
20RITI21117,12,17,12_17,300,1.291264283
20RITI21217,13,17,13_17,301,1.54905736
20RITI21317,14,17,14_17,302,1.286301877
20RITI21417,15,17,15_17,303,1.401135327
20RITI21517,16,17,16_17,304,1.523176866
20RITI21617,17,17,17_17,305,1.382670066
20RITI21717,18,17,18_17,306,1.225065308
20RITI20018,1,18,1_18,307,1.371188206
20RITI20118,2,18,2_18,308,1.208172072
20RITI20218,3,18,3_18,309,1.550191079
20RITI20318,4,18,4_18,310,1.193095302
20RITI20418,5,18,5_18,311,1.524071459
20RITI20518,6,18,6_18,312,1.412397611
20RITI20618,7,18,7_18,313,1.407662292
20RITI20718,8,18,8_18,314,1.36106628
20RITI20818,9,18,9_18,315,1.451564868
20RITI20918,10,18,10_18,316,1.286977983
20RITI21018,11,18,11_18,317,1.337413513
20RITI21118,12,18,12_18,318,1.302283497
20RITI21218,13,18,13_18,319,1.580803679
20RITI21318,14,18,14_18,320,1.385367935
20RITI21418,15,18,15_18,321,1.595435797
20RITI21518,16,18,16_18,322,1.571792143
20RITI21618,17,18,17_18,323,1.504934658
20RITI21718,18,18,18_18,324,1.232955563
20RITI20019,1,19,1_19,325,1.327274303
20RITI20119,2,19,2_19,326,1.234976044
20RITI20219,3,19,3_19,327,1.241950283
20RITI20319,4,19,4_19,328,1.280673007
20RITI20419,5,19,5_19,329,1.514387082
20RITI20519,6,19,6_19,330,1.488709801
20RITI20619,7,19,7_19,331,1.640015689
20RITI20719,8,19,8_19,332,1.298235785
20RITI20819,9,19,9_19,333,1.457645551
20RITI20919,10,19,10_19,334,1.296211898
20RITI21019,11,19,11_19,335,1.441428576
20RITI21119,12,19,12_19,336,1.256132639
20RITI21219,13,19,13_19,337,1.469808542
20RITI21319,14,19,14_19,338,1.24217684
20RITI21419,15,19,15_19,339,1.395040162
20RITI21519,16,19,16_19,340,1.614130973
20RITI21619,17,19,17_19,341,1.076467011
20RITI21719,18,19,18_19,342,1.275046321
20RITI20020,1,20,1_20,343,1.41418864
20RITI20120,2,20,2_20,344,1.39392919
20RITI20220,3,20,3_20,345,1.41869375
20RITI20320,4,20,4_20,346,1.372758867
20RITI20420,5,20,5_20,347,1.396394704
20RITI20520,6,20,6_20,348,1.577429144
20RITI20620,7,20,7_20,349,1.370746544
20RITI20720,8,20,8_20,350,1.317380661
20RITI20820,9,20,9_20,351,1.504925198
20RITI20920,10,20,10_20,352,1.223479083
20RITI21020,11,20,11_20,353,1.359246764
20RITI21120,12,20,12_20,354,1.240822359
