plant_id,id,Row,Range,Row_Range,area(m^2)
20RITI20277,1371,3,77,3_77,2.116671929
20RITI20278,1389,3,78,3_78,2.270896852
20RITI20279,1407,3,79,3_79,2.115101049
20RITI20280,1425,3,80,3_80,2.333265802
20RITI20281,1443,3,81,3_81,2.294322119
20RITI20282,1461,3,82,3_82,2.05070245
20RITI20283,1479,3,83,3_83,1.934970133
20RITI20284,1497,3,84,3_84,2.113297816
20RITI20285,1515,3,85,3_85,2.073892472
20RITI20286,1533,3,86,3_86,2.124778201
20RITI20287,1551,3,87,3_87,2.230375713
20RITI20288,1569,3,88,3_88,1.76025292
20RITI20289,1587,3,89,3_89,2.450797255
20RITI20290,1605,3,90,3_90,2.357135892
20RITI20291,1623,3,91,3_91,2.052729507
20RITI20292,1641,3,92,3_92,2.090549312
20RITI20293,1659,3,93,3_93,2.328317546
20RITI20294,1677,3,94,3_94,2.232171901
20RITI20295,1695,3,95,3_95,2.202677021
20RITI20296,1713,3,96,3_96,2.373572451
20RITI20297,1731,3,97,3_97,2.059703187
20RITI20298,1749,3,98,3_98,2.281485498
20RITI20299,1767,3,99,3_99,2.312554102
20RITI20300,1785,3,100,3_100,1.476330374
20RITI20301,4,4,1,4_1,2.065563018
20RITI20302,22,4,2,4_2,1.785922333
20RITI20303,40,4,3,4_3,1.855942125
20RITI20304,58,4,4,4_4,1.815635987
20RITI20305,76,4,5,4_5,2.05745827
20RITI20306,94,4,6,4_6,1.935197883
20RITI20307,112,4,7,4_7,1.92979824
20RITI20308,130,4,8,4_8,2.203356789
20RITI20309,148,4,9,4_9,1.767684738
20RITI20310,166,4,10,4_10,1.861577813
20RITI20311,184,4,11,4_11,1.921687374
20RITI20312,202,4,12,4_12,1.842661318
20RITI20313,220,4,13,4_13,1.758228492
20RITI20314,238,4,14,4_14,1.843339141
20RITI20315,256,4,15,4_15,1.81024014
20RITI20316,274,4,16,4_16,1.952085491
20RITI20317,292,4,17,4_17,1.916060707
20RITI20318,310,4,18,4_18,1.737962458
20RITI20319,328,4,19,4_19,1.872151588
20RITI20320,346,4,20,4_20,1.918316144
20RITI20321,364,4,21,4_21,2.005449552
20RITI20322,382,4,22,4_22,1.826895618
20RITI20323,400,4,23,4_23,1.707568045
20RITI20324,418,4,24,4_24,1.496599114
20RITI20325,436,4,25,4_25,1.756875714
20RITI20326,454,4,26,4_26,2.015130054
20RITI20327,472,4,27,4_27,1.769255827
20RITI20328,490,4,28,4_28,1.901204587
20RITI20329,508,4,29,4_29,1.609399806
20RITI20330,526,4,30,4_30,1.610752753
20RITI20331,544,4,31,4_31,1.755522572
20RITI20332,562,4,32,4_32,1.994182337
20RITI20333,580,4,33,4_33,1.962439584
20RITI20334,598,4,34,4_34,2.326964111
20RITI20335,616,4,35,4_35,1.73391053
20RITI20336,634,4,36,4_36,1.927318277
20RITI20337,652,4,37,4_37,2.207861009
20RITI20338,670,4,38,4_38,1.976626704
20RITI20339,688,4,39,4_39,1.766331003
20RITI20340,706,4,40,4_40,1.932948306
20RITI20341,724,4,41,4_41,1.951861123
20RITI20342,742,4,42,4_42,2.107890549
20RITI20343,760,4,43,4_43,1.811360433
20RITI20344,778,4,44,4_44,1.461698243
20RITI20345,796,4,45,4_45,1.923490952
20RITI20346,814,4,46,4_46,1.74449409
20RITI20347,832,4,47,4_47,1.767682513
20RITI20348,850,4,48,4_48,2.089663397
20RITI20349,868,4,49,4_49,1.88814189
20RITI20350,886,4,50,4_50,1.884312355
20RITI20351,904,4,51,4_51,1.796954484
20RITI20352,922,4,52,4_52,1.927089794
20RITI20353,940,4,53,4_53,1.955913215
20RITI20354,958,4,54,4_54,1.951408398
20RITI20355,976,4,55,4_55,1.680771284
20RITI20356,994,4,56,4_56,1.767009555
20RITI20357,1012,4,57,4_57,1.886339385
20RITI20358,1030,4,58,4_58,1.941949991
20RITI20359,1048,4,59,4_59,1.974148704
20RITI20360,1066,4,60,4_60,1.691582632
20RITI20361,1084,4,61,4_61,2.006119471
20RITI20362,1102,4,62,4_62,1.840407394
20RITI20363,1120,4,63,4_63,2.060607857
20RITI20364,1138,4,64,4_64,1.882064076
20RITI20365,1156,4,65,4_65,1.912450215
20RITI20366,1174,4,66,4_66,2.130852775
20RITI20367,1192,4,67,4_67,1.896247618
20RITI20368,1210,4,68,4_68,1.964470765
20RITI20369,1228,4,69,4_69,1.877334901
20RITI20370,1246,4,70,4_70,1.79064489
20RITI20371,1264,4,71,4_71,1.839282675
20RITI20372,1282,4,72,4_72,1.837030661
20RITI20373,1300,4,73,4_73,2.142564294
20RITI20374,1318,4,74,4_74,1.658034789
20RITI20375,1336,4,75,4_75,2.039885744
20RITI20376,1354,4,76,4_76,1.884311955
20RITI20377,1372,4,77,4_77,1.820819656
20RITI20378,1390,4,78,4_78,1.796958284
20RITI20379,1408,4,79,4_79,1.780296121
20RITI20380,1426,4,80,4_80,1.891740077
20RITI20381,1444,4,81,4_81,2.044844813
20RITI20382,1462,4,82,4_82,1.63687011
20RITI20383,1480,4,83,4_83,2.183319499
20RITI20384,1498,4,84,4_84,1.853913615
20RITI20385,1516,4,85,4_85,1.970544621
20RITI20386,1534,4,86,4_86,1.980001234
20RITI20387,1552,4,87,4_87,1.992165629
20RITI20388,1570,4,88,4_88,1.656904222
20RITI20389,1588,4,89,4_89,2.08041844
20RITI20390,1606,4,90,4_90,1.782997063
20RITI20391,1624,4,91,4_91,1.828921558
20RITI20392,1642,4,92,4_92,1.834775334
20RITI20393,1660,4,93,4_93,2.125229605
20RITI20394,1678,4,94,4_94,1.785016007
20RITI20395,1696,4,95,4_95,1.762504675
20RITI20396,1714,4,96,4_96,2.072762751
20RITI20397,1732,4,97,4_97,1.933389962
20RITI20398,1750,4,98,4_98,1.934298561
20RITI20399,1768,4,99,4_99,2.037416283
20RITI20400,1786,4,100,4_100,1.704866331
20RITI20401,5,5,1,5_1,2.241632143
20RITI20402,23,5,2,5_2,1.976852194
20RITI20403,41,5,3,5_3,2.009724658
20RITI20404,59,5,4,5_4,1.857062961
20RITI20405,77,5,5,5_5,2.133779129
20RITI20406,95,5,6,5_6,2.092137813
20RITI20407,113,5,7,5_7,2.356236835
20RITI20408,131,5,8,5_8,2.3463299
20RITI20409,149,5,9,5_9,2.054078794
20RITI20410,167,5,10,5_10,1.998236326
20RITI20411,185,5,11,5_11,1.8867916
20RITI20412,203,5,12,5_12,1.955010838
