plant_id,Row,Range,Row_Range,id,area(m^2)
20RITI20350,4,50,4_50,886,1.505601565
20RITI20351,4,51,4_51,904,1.746067995
20RITI20352,4,52,4_52,922,2.215732642
20RITI20353,4,53,4_53,940,1.767682687
20RITI20354,4,54,4_54,958,1.779394661
20RITI20355,4,55,4_55,976,1.783215091
20RITI20356,4,56,4_56,994,1.482411849
20RITI20357,4,57,4_57,1012,1.795377157
20RITI20358,4,58,4_58,1030,1.945775972
20RITI20359,4,59,4_59,1048,1.791322701
20RITI20360,4,60,4_60,1066,2.005228789
20RITI20361,4,61,4_61,1084,2.10203703
20RITI20362,4,62,4_62,1102,1.405639928
20RITI20363,4,63,4_63,1120,1.764076622
20RITI20364,4,64,4_64,1138,1.618862203
20RITI20365,4,65,4_65,1156,1.84423987
20RITI20366,4,66,4_66,1174,1.946678774
20RITI20367,4,67,4_67,1192,1.637768194
20RITI20368,4,68,4_68,1210,1.584624084
20RITI20369,4,69,4_69,1228,1.802357508
20RITI20370,4,70,4_70,1246,2.071865932
20RITI20371,4,71,4_71,1264,1.776908131
20RITI20372,4,72,4_72,1282,2.095735312
20RITI20373,4,73,4_73,1300,1.924387467
20RITI20374,4,74,4_74,1318,1.572015272
20RITI20375,4,75,4_75,1336,2.165077828
20RITI20376,4,76,4_76,1354,1.926416512
20RITI20377,4,77,4_77,1372,1.705088948
20RITI20378,4,78,4_78,1390,2.362094341
20RITI20379,4,79,4_79,1408,2.057676915
20RITI20380,4,80,4_80,1426,1.729630957
20RITI20381,4,81,4_81,1444,1.825774915
20RITI20382,4,82,4_82,1462,1.675597065
20RITI20383,4,83,4_83,1480,1.571124572
20RITI20384,4,84,4_84,1498,2.077048211
20RITI20385,4,85,4_85,1516,1.94172295
20RITI20386,4,86,4_86,1534,1.878907699
20RITI20387,4,87,4_87,1552,1.71117411
20RITI20388,4,88,4_88,1570,1.536441752
20RITI20389,4,89,4_89,1588,1.754630571
20RITI20390,4,90,4_90,1606,1.766558641
20RITI20391,4,91,4_91,1624,1.820816396
20RITI20392,4,92,4_92,1642,1.772855518
20RITI20393,4,93,4_93,1660,2.241632629
20RITI20394,4,94,4_94,1678,2.11666602
20RITI20395,4,95,4_95,1696,1.581261533
20RITI20396,4,96,4_96,1714,2.235098891
20RITI20397,4,97,4_97,1732,1.758225974
20RITI20398,4,98,4_98,1750,2.133334672
20RITI20399,4,99,4_99,1768,1.849868216
20RITI20400,4,100,4_100,1786,1.957490251
20RITI20401,5,1,5_1,5,1.90683449
20RITI20402,5,2,5_2,23,1.938576879
20RITI20403,5,3,5_3,41,2.1243339
20RITI20404,5,4,5_4,59,2.01737602
20RITI20405,5,5,5_5,77,2.018061897
20RITI20406,5,6,5_6,95,2.108566062
20RITI20407,5,7,5_7,113,1.870358984
20RITI20408,5,8,5_8,131,2.288694409
20RITI20409,5,9,5_9,149,2.170932184
20RITI20410,5,10,5_10,167,2.184896375
20RITI20411,5,11,5_11,185,2.03809335
20RITI20412,5,12,5_12,203,2.274505445
20RITI20413,5,13,5_13,221,1.834554295
20RITI20414,5,14,5_14,239,2.062181492
20RITI20415,5,15,5_15,257,2.175662214
20RITI20416,5,16,5_16,275,1.961995765
20RITI20417,5,17,5_17,293,2.157878459
20RITI20418,5,18,5_18,311,2.173184517
20RITI20419,5,19,5_19,329,2.145496706
20RITI20420,5,20,5_20,347,2.039893173
20RITI20421,5,21,5_21,365,2.055655812
20RITI20422,5,22,5_22,383,1.79289553
20RITI20423,5,23,5_23,401,1.683476677
20RITI20424,5,24,5_24,419,2.024357409
20RITI20425,5,25,5_25,437,2.024133276
20RITI20426,5,26,5_26,455,1.965809942
20RITI20427,5,27,5_27,473,2.265049098
20RITI20428,5,28,5_28,491,2.048674256
20RITI20429,5,29,5_29,509,1.914035606
20RITI20430,5,30,5_30,527,1.855266621
20RITI20431,5,31,5_31,545,2.060382056
20RITI20432,5,32,5_32,563,2.196595624
20RITI20433,5,33,5_33,581,2.09077362
20RITI20434,5,34,5_34,599,1.909977399
20RITI20435,5,35,5_35,617,1.731673536
20RITI20436,5,36,5_36,635,2.205840105
20RITI20437,5,37,5_37,653,2.124329465
20RITI20438,5,38,5_38,671,2.185567517
20RITI20439,5,39,5_39,689,1.918077871
20RITI20440,5,40,5_40,707,1.657128386
20RITI20441,5,41,5_41,725,1.782311258
20RITI20442,5,42,5_42,743,1.824867828
20RITI20443,5,43,5_43,761,1.900977046
20RITI20444,5,44,5_44,779,2.105644718
20RITI20445,5,45,5_45,797,2.201777817
20RITI20446,5,46,5_46,815,2.168676398
20RITI20447,5,47,5_47,833,2.223840725
20RITI20448,5,48,5_48,851,2.050026445
20RITI20449,5,49,5_49,869,2.064887377
20RITI20450,5,50,5_50,887,2.094155352
20RITI20451,5,51,5_51,905,2.013546824
20RITI20452,5,52,5_52,923,2.254015311
20RITI20453,5,53,5_53,941,2.114871652
20RITI20454,5,54,5_54,959,1.992159673
20RITI20455,5,55,5_55,977,2.104286328
20RITI20456,5,56,5_56,995,2.130854388
20RITI20457,5,57,5_57,1013,2.219562502
20RITI20458,5,58,5_58,1031,2.034487253
20RITI20459,5,59,5_59,1049,2.013555963
20RITI20460,5,60,5_60,1067,2.380552958
20RITI20461,5,61,5_61,1085,2.075020152
20RITI20462,5,62,5_62,1103,1.73052478
20RITI20463,5,63,5_63,1121,1.859101763
20RITI20464,5,64,5_64,1139,2.14774932
20RITI20465,5,65,5_65,1157,2.079296788
20RITI20466,5,66,5_66,1175,2.204031361
20RITI20467,5,67,5_67,1193,2.057230543
20RITI20468,5,68,5_68,1211,2.099561086
20RITI20469,5,69,5_69,1229,1.977524825
20RITI20470,5,70,5_70,1247,2.142786886
20RITI20471,5,71,5_71,1265,1.741568217
20RITI20472,5,72,5_72,1283,2.222259554
20RITI20473,5,73,5_73,1301,1.900750062
20RITI20474,5,74,5_74,1319,2.06578758
20RITI20475,5,75,5_75,1337,2.140539438
20RITI20476,5,76,5_76,1355,2.077041727
20RITI20477,5,77,5_77,1373,2.145935464
20RITI20478,5,78,5_78,1391,2.230825608
20RITI20479,5,79,5_79,1409,1.868782431
20RITI20480,5,80,5_80,1427,2.191420599
20RITI20481,5,81,5_81,1445,2.00994804
20RITI20482,5,82,5_82,1463,2.192776817
20RITI20483,5,83,5_83,1481,1.67379226
20RITI20484,5,84,5_84,1499,2.244109163
20RITI20485,5,85,5_85,1517,1.75214218
20RITI20486,5,86,5_86,1535,2.430081194
20RITI20487,5,87,5_87,1553,2.025029045
20RITI20488,5,88,5_88,1571,2.295441203
20RITI20489,5,89,5_89,1589,1.777810921
20RITI20490,5,90,5_90,1607,2.210785536
20RITI20491,5,91,5_91,1625,2.188050464
20RITI20492,5,92,5_92,1643,2.242532935
20RITI20493,5,93,5_93,1661,1.571127124
20RITI20494,5,94,5_94,1679,2.665594922
20RITI20495,5,95,5_95,1697,2.128834896
20RITI20496,5,96,5_96,1715,2.269996744
20RITI20497,5,97,5_97,1733,2.205832399
20RITI20498,5,98,5_98,1751,2.379649423
20RITI20499,5,99,5_99,1769,2.169588571
20RITI20500,5,100,5_100,1787,2.255145623
20RITI20501,6,1,6_1,6,2.03291376
20RITI20502,6,2,6_2,24,1.577198723
20RITI20503,6,3,6_3,42,1.560083268
20RITI20504,6,4,6_4,60,1.644755549
20RITI20505,6,5,6_5,78,1.717471169
20RITI20506,6,6,6_6,96,1.528122014
20RITI20507,6,7,6_7,114,1.380193182
20RITI20508,6,8,6_8,132,2.023682918
20RITI20509,6,9,6_9,150,1.974606439
20RITI20510,6,10,6_10,168,2.089657088
20RITI20511,6,11,6_11,186,1.961761448
20RITI20512,6,12,6_12,204,1.606250258
20RITI20513,6,13,6_13,222,1.693606547
20RITI20514,6,14,6_14,240,1.807309379
20RITI20515,6,15,6_15,258,1.649695405
20RITI20516,6,16,6_16,276,1.740211474
20RITI20517,6,17,6_17,294,1.471380266
20RITI20518,6,18,6_18,312,1.610070456
20RITI20519,6,19,6_19,330,1.738191641
20RITI20520,6,20,6_20,348,1.82351641
20RITI20521,6,21,6_21,366,1.504489307
20RITI20522,6,22,6_22,384,1.742007047
20RITI20523,6,23,6_23,402,1.56459507
20RITI20524,6,24,6_24,420,1.674021983
20RITI20525,6,25,6_25,438,1.323235921
20RITI20526,6,26,6_26,456,1.853244645
20RITI20527,6,27,6_27,474,1.278652554
20RITI20528,6,28,6_28,492,1.767906371
20RITI20529,6,29,6_29,510,1.441433
20RITI20530,6,30,6_30,528,1.382002113
20RITI20531,6,31,6_31,546,1.748098027
20RITI20532,6,32,6_32,564,1.513257471
20RITI20533,6,33,6_33,582,1.922819485
20RITI20534,6,34,6_34,600,1.472503516
20RITI20535,6,35,6_35,618,1.102346669
20RITI20536,6,36,6_36,636,1.78547449
20RITI20537,6,37,6_37,654,1.815867533
20RITI20538,6,38,6_38,672,1.486470274
20RITI20539,6,39,6_39,690,1.565940248
20RITI20540,6,40,6_40,708,1.427249429
20RITI20541,6,41,6_41,726,1.567967843
20RITI20542,6,42,6_42,744,1.891078062
20RITI20543,6,43,6_43,762,1.442565767
20RITI20544,6,44,6_44,780,2.131746923
20RITI20545,6,45,6_45,798,1.656909869
20RITI20546,6,46,6_46,816,1.576079059
20RITI20547,6,47,6_47,834,1.946231879
20RITI20548,6,48,6_48,852,2.050244579
20RITI20549,6,49,6_49,870,1.664338149
20RITI20550,6,50,6_50,888,1.886119714
20RITI20551,6,51,6_51,906,1.50853192
20RITI20552,6,52,6_52,924,1.719954444
20RITI20553,6,53,6_53,942,2.038764735
20RITI20554,6,54,6_54,960,1.869899061
20RITI20555,6,55,6_55,978,1.543208441
20RITI20556,6,56,6_56,996,1.73953981
20RITI20557,6,57,6_57,1014,1.65241252
20RITI20558,6,58,6_58,1032,1.988336802
