fid,id,BI2023_05_03,SCI2023_05_03,GLI2023_05_03,HI2023_05_03,NGRDI2023_05_03,SI2023_05_03,VARI2023_05_03,HUE2023_05_03,BGI2023_05_03,PSRI2023_05_03,NDVI2023_05_03,GNDVI2023_05_03,RVI2023_05_03,NDRE2023_05_03,TVI2023_05_03,CVI2023_05_03,EVI2023_05_03,CIG2023_05_03,CIRE2023_05_03,DVI2023_05_03,GR2023_05_03,NGBDI2023_05_03,BGI22023_05_03,RGBVI2023_05_03,GRVI2023_05_03,EXG2023_05_03,MGRVI2023_05_03,GLA2023_05_03,IHS2023_05_03
"11","1638",1723.78894042969,0.154137343168259,0.225772589445114,-0.186980843544006,0.159654214978218,0.154137343168259,0.231038212776184,-1.57078421115875,0.530347526073456,-0.11310513317585,0.707605600357056,0.606312692165375,5.84007740020752,0.270932346582413,474114.0625,2.8648636341095,1.92955648899078,3.0801739692688,0.743229687213898,3900.54833984375,0.724652051925659,0.306892663240433,0.530347526073456,0.44231840968132,0.159654214978218,1530.68640136719,0.311371743679047,0.225772589445114,1643.54211425781
"12","1620",1545.57482910156,0.138206765055656,0.243377327919006,-0.312225371599197,0.186808183789253,0.138206765055656,0.268250435590744,-1.57078278064728,0.518382370471954,-0.123800836503506,0.741579592227936,0.623855471611023,6.73932790756226,0.300131410360336,472200.75,2.9458909034729,2.06066966056824,3.31710600852966,0.857679307460785,4091.12524414062,0.685192286968231,0.317191272974014,0.518382370471954,0.470942050218582,0.186808183789253,1467.2421875,0.361017823219299,0.243377327919006,1453.17260742188
"13","1745",1677.8505859375,0.146044984459877,0.188270822167397,-0.0538587011396885,0.125165700912476,0.146044984459877,0.18312668800354,-1.57077848911285,0.569884419441223,-0.0916761010885239,0.690286040306091,0.611730635166168,5.45757150650024,0.281801581382751,440100.5625,3.12249517440796,1.93796122074127,3.15106296539307,0.784745693206787,3795.54174804688,0.777516186237335,0.273979127407074,0.569884419441223,0.38085275888443,0.125165700912476,1225.05310058594,0.246470019221306,0.188270822167397,1615.47473144531
"14","1602",1558.72668457031,0.111325062811375,0.264986515045166,-0.483488827943802,0.221147894859314,0.111325062811375,0.325012385845184,-1.57078492641449,0.521491527557373,-0.139404788613319,0.76757401227951,0.638873517513275,7.60488891601562,0.313612014055252,529387.1875,2.89483618736267,2.1957631111145,3.53822588920593,0.91380387544632,4581.5234375,0.637803256511688,0.314499616622925,0.521491527557373,0.505565941333771,0.221147894859314,1604.55749511719,0.421673268079758,0.264986515045166,1464.48498535156
"15","1781",2114.17944335938,0.195342943072319,0.115360774099827,0.71965491771698,0.0259781815111637,0.195342943072319,0.0388598144054413,-1.57075262069702,0.613066613674164,-0.0249508395791054,0.507001161575317,0.503432393074036,3.056804895401,0.201995059847832,292879.03125,2.90050673484802,1.30889487266541,2.02764892578125,0.506250143051147,2377.68579101562,0.949359178543091,0.23987440764904,0.613066613674164,0.255544722080231,0.0259781815111637,973.030395507812,0.0519213229417801,0.115360774099827,2060.26489257812
"16","1763",1796.87414550781,0.177122831344604,0.163712814450264,0.224422201514244,0.0847176983952522,0.177122831344604,0.126148790121078,-1.57077777385712,0.572726190090179,-0.0735808983445168,0.610277771949768,0.559297502040863,4.13186025619507,0.233866587281227,363856.1875,2.94355249404907,1.61900174617767,2.53820872306824,0.610511481761932,2994.29931640625,0.84379768371582,0.271677196025848,0.572726190090179,0.34036985039711,0.0847176983952522,1224.88122558594,0.168228000402451,0.163712814450264,1721.86645507812
"17","1584",1869.34973144531,0.175515398383141,0.189434766769409,0.118257015943527,0.10817626863718,0.175515398383141,0.155443727970123,-1.57078051567078,0.564999997615814,-0.0836578235030174,0.654993116855621,0.57457572221756,4.79698610305786,0.253981173038483,422178.46875,2.96006965637207,1.71966624259949,2.70118951797485,0.680897414684296,3533.77197265625,0.804767072200775,0.277955293655396,0.564999997615814,0.381367295980453,0.10817626863718,1336.24084472656,0.213850021362305,0.189434766769409,1791.43139648438
"18","1566",1449.54833984375,0.117081008851528,0.263680636882782,-0.460564225912094,0.214434280991554,0.117081008851528,0.31364169716835,-1.57078385353088,0.516591310501099,-0.135067939758301,0.771229445934296,0.653752088546753,7.74238586425781,0.321159988641739,518913.53125,3.0654239654541,2.18044662475586,3.77620887756348,0.946202337741852,4626.85888671875,0.64685732126236,0.318746864795685,0.516591310501099,0.501312017440796,0.214434280991554,1508.91235351562,0.410015225410461,0.263680636882782,1370.74560546875
"19","1727",1634.48205566406,0.13298299908638,0.217850595712662,-0.257045537233353,0.161116033792496,0.13298299908638,0.238689243793488,-1.5707825422287,0.546935379505157,-0.113217800855637,0.7169149518013,0.614481568336487,6.06501436233521,0.284156858921051,464044.625,3.00097751617432,2.03459858894348,3.18782019615173,0.793908178806305,3961.26879882812,0.722480714321136,0.292878836393356,0.546935379505157,0.428315162658691,0.161116033792496,1401.6962890625,0.314079105854034,0.217850595712662,1563.47106933594
"20","1548",1644.25012207031,0.161520838737488,0.226937636733055,-0.153024062514305,0.15925520658493,0.161520838737488,0.231749594211578,-1.5707836151123,0.523126363754272,-0.111954167485237,0.718802392482758,0.61704421043396,6.11243724822998,0.290494799613953,469554.9375,2.99821639060974,1.92626547813416,3.2225353717804,0.818865895271301,4087.41479492188,0.725245654582977,0.313088625669479,0.523126363754272,0.450139254331589,0.15925520658493,1487.82250976562,0.310632109642029,0.226937636733055,1565.48803710938
"21","1691",1948.47875976562,0.176051259040833,0.185408636927605,0.129616886377335,0.103048123419285,0.176051259040833,0.150340735912323,-1.57078218460083,0.54820841550827,-0.0830945894122124,0.640357553958893,0.576464891433716,4.56107950210571,0.258706450462341,450834.15625,3.01355290412903,1.69151437282562,2.72215914726257,0.697986543178558,3787.7548828125,0.813157558441162,0.291815757751465,0.54820841550827,0.381041079759598,0.103048123419285,1433.96789550781,0.203930720686913,0.185408636927605,1881.64001464844
"22","1530",1631.71936035156,0.149881541728973,0.234426498413086,-0.216186761856079,0.166351705789566,0.149881541728973,0.240938529372215,-1.57078325748444,0.52109956741333,-0.115915782749653,0.725241363048553,0.624602138996124,6.27911615371704,0.295582890510559,486466.96875,3.04399085044861,1.98540711402893,3.32768082618713,0.839226901531219,4226.7724609375,0.714748620986938,0.314838320016861,0.52109956741333,0.459228217601776,0.166351705789566,1488.06799316406,0.3237444460392,0.234426498413086,1553.24487304688
"23","1709",1522.31091308594,0.145611822605133,0.19594332575798,-0.103514283895493,0.134691640734673,0.145611822605133,0.199113145470619,-1.57077872753143,0.569511353969574,-0.0957233384251595,0.711067080497742,0.623284935951233,5.92202234268188,0.285321652889252,457566.25,3.21249222755432,1.9776918888092,3.30905199050903,0.798461675643921,3884.95727539062,0.762593388557434,0.274281948804855,0.569511353969574,0.391409486532211,0.134691640734673,1222.70007324219,0.264583259820938,0.19594332575798,1462.13793945312
"24","1673",1498.68090820312,0.152180045843124,0.227630078792572,-0.197124242782593,0.16396489739418,0.152180045843124,0.234168291091919,-1.57078087329865,0.523539185523987,-0.108245857059956,0.738461375236511,0.637044727802277,6.64705419540405,0.304984331130981,482374.5,3.15209126472473,2.00984907150269,3.51032185554504,0.877632915973663,4336.61572265625,0.718264937400818,0.31273290514946,0.523539185523987,0.449005663394928,0.16396489739418,1359.38818359375,0.319344371557236,0.227630078792572,1422.15246582031
"25","1512",1557.27258300781,0.122064039111137,0.230992257595062,-0.340795755386353,0.177944928407669,0.122064039111137,0.26062873005867,-1.57078266143799,0.542946100234985,-0.120256885886192,0.740166187286377,0.630241811275482,6.69722700119019,0.298596769571304,486766.40625,3.01067805290222,2.09716534614563,3.40893983840942,0.851426899433136,4193.40625,0.697872281074524,0.296221554279327,0.542946100234985,0.450544416904449,0.177944928407669,1424.33129882812,0.3449667096138,0.230992257595062,1482.509765625
"26","1655",1496.0390625,0.128834903240204,0.229333147406578,-0.323663830757141,0.177100867033005,0.128834903240204,0.261065453290939,-1.57078087329865,0.545150756835938,-0.117341347038746,0.739728569984436,0.638564467430115,6.68428659439087,0.309428066015244,482286,3.14597749710083,2.10452270507812,3.53348994255066,0.8961501121521,4281.400390625,0.699089765548706,0.294372081756592,0.545150756835938,0.448131412267685,0.177100867033005,1351.501953125,0.343430131673813,0.229333147406578,1421.08386230469
"27","1494",1509.67822265625,0.0902318730950356,0.248841181397438,-0.54502809047699,0.215701818466187,0.0902318730950356,0.322516977787018,-1.57078301906586,0.545063138008118,-0.135522946715355,0.772066533565521,0.656766355037689,7.7744927406311,0.325780928134918,534240.8125,3.05107688903809,2.27223515510559,3.82693481445312,0.966394901275635,4857.828125,0.64514023065567,0.294445514678955,0.545063138008118,0.476426303386688,0.215701818466187,1472.39025878906,0.412223994731903,0.248841181397438,1434.36157226562
"28","1798",1626.42211914062,0.16528794169426,0.182129338383675,0.0431213267147541,0.110495306551456,0.16528794169426,0.162639871239662,-1.57077860832214,0.55205911397934,-0.083108626306057,0.662110924720764,0.589145123958588,4.91910219192505,0.256423115730286,396014,3.08264636993408,1.79653060436249,2.86789917945862,0.689701616764069,3244.93701171875,0.800998210906982,0.288610696792603,0.55205911397934,0.371279180049896,0.110495306551456,1215.00158691406,0.218325018882751,0.182129338383675,1565.40319824219
"29","1637",1466.02575683594,0.148832052946091,0.209044277667999,-0.150855630636215,0.146155744791031,0.148832052946091,0.216658651828766,-1.57077884674072,0.54773485660553,-0.102055869996548,0.718239903450012,0.630539834499359,6.09823656082153,0.299518018960953,453120.9375,3.21678829193115,1.9889270067215,3.41330313682556,0.85517692565918,4036.59399414062,0.744963526725769,0.29221099615097,0.54773485660553,0.416995286941528,0.146155744791031,1264.34497070312,0.286197870969772,0.209044277667999,1400.19396972656
