ID,Weight (g),Bag #,Notes,Column1
20RITI21206,342.71,13,,
20RITI20079,349.76,13,,
20RITI21248,315.01,13,,
20RITI21243,315.27,13,,
20RITI21270,291.92,13,,
20RITI21214,291.43,13,,
20RITI20022,323.55,13,,
20RITI20089,248.43,13,,
20RITI20030,179.76,13,,
20RITI21207,265.15,13,,
20RITI21208,371.45,13,,
20RITI21226,350.04,13,,
20RITI21215,353.54,13,,
20RITI21212,329.86,13,,
20RITI21204,452.25,13,,
20RITI21258,369.94,13,,
20RITI21209,172.27,13,,
20RITI20049,316.89,14,,
20RITI20024,298.84,14,,
20RITI20063,149.64,14,mix with next plot?,
20RITI20048,214.06,14,,
20RITI20014,216.98,14,,
20RITI20028,205.32,14,,
20RITI20027,209.32,14,,
20RITI20017,245.63,14,,
20RITI20029,239.42,14,,
20RITI20002,353.52,14,,
20RITI20025,283.43,14,,
20RITI20006,280.93,14,,
20RITI20034,373.45,14,,
20RITI20045,345.7,14,,
20RITI20094,431.99,14,,
20RITI20078,332.83,14,small tear on bag bottom,
20RITI20043,298.6,14,,
20RITI20003,294.71,14,,
20RITI20892,372.16,14,,
20RITI20760,331.21,14,,
20RITI20835,375.93,14,,
20RITI20837,342.02,14,,
20RITI20742,273.16,14,,
20RITI20788,349.79,14,,
20RITI20878,422.72,14,,
20RITI20799,255.06,14,,
20RITI20880,432.35,14,,
20RITI20826,267.33,14,,
20RITI20838,418.21,14,,
20RITI20870,391.94,14,,
20RITI20882,383.35,14,,
20RITI20779,385.41,14,,
20RITI20828,259.83,14,,
20RITI20796,351.96,14,,
20RITI20877,466.4,14,,
20RITI20787,346.33,14,,
20RITI20794,339.97,14,,
20RITI20797,278.09,14,,
20RITI20747,332.21,14,,
20RITI20885,408.71,14,,
20RITI20891,408.08,14,,
20RITI20763,256.26,14,,
20RITI20883,453.99,14,,
20RITI20895,349.48,14,,
20RITI20741,298.44,14,,
20RITI20798,359.31,1,,
20RITI20764,358.48,14,bag 14 ends,
20RITI20785,352.85,15,bag 15 starts,
20RITI20773,291.03,15,,
20RITI20748,386.12,15,,
20RITI20781,235,15,,
20RITI20755,423.61,15,,
20RITI20776,425.98,15,,
20RITI20750,356.39,15,,
20RITI20739,113.33,15,,
20RITI20784,333.76,15,,
20RITI20753,409.88,15,,
20RITI20873,425.83,15,,
20RITI20829,438.07,15,,
20RITI20749,255.77,15,,
20RITI20746,325.12,15,,
20RITI20751,365.68,15,,
20RITI20881,493.15,15,,
20RITI20775,395.39,15,,
20RITI20752,365.97,15,,
20RITI20876,517.81,15,,
20RITI20783,282.92,15,,
20RITI20827,349.84,15,,
20RITI21119,229.63,15,,
20RITI21168,184.89,15,,
20RITI21165,282.98,15,,
20RITI21108,259.21,15,,
20RITI21102,249.9,15,,
20RITI21103,276.3,15,,
20RITI21117,178,15,,
20RITI21101,282.68,15,,
20RITI21155,217.49,15,,
20RITI21163,286.89,15,,
20RITI21109,288.24,15,,
20RITI21111,222.91,15,,
20RITI21105,248.37,15,,
20RITI21110,251.52,15,,
20RITI21112,217.43,15,,
20RITI21104,273.76,15,,
