plant_id,Row,Range,Row_Range,id
20RITI20533,6,33,6_33,582
20RITI20534,6,34,6_34,600
20RITI20535,6,35,6_35,618
20RITI20536,6,36,6_36,636
20RITI20537,6,37,6_37,654
20RITI20538,6,38,6_38,672
20RITI20539,6,39,6_39,690
20RITI20540,6,40,6_40,708
20RITI20541,6,41,6_41,726
20RITI20542,6,42,6_42,744
20RITI20543,6,43,6_43,762
20RITI20544,6,44,6_44,780
20RITI20545,6,45,6_45,798
20RITI20546,6,46,6_46,816
20RITI20547,6,47,6_47,834
20RITI20548,6,48,6_48,852
20RITI20549,6,49,6_49,870
20RITI20550,6,50,6_50,888
20RITI20551,6,51,6_51,906
20RITI20552,6,52,6_52,924
20RITI20553,6,53,6_53,942
20RITI20554,6,54,6_54,960
20RITI20555,6,55,6_55,978
20RITI20556,6,56,6_56,996
20RITI20557,6,57,6_57,1014
20RITI20558,6,58,6_58,1032
20RITI20559,6,59,6_59,1050
20RITI20560,6,60,6_60,1068
20RITI20561,6,61,6_61,1086
20RITI20562,6,62,6_62,1104
20RITI20563,6,63,6_63,1122
20RITI20564,6,64,6_64,1140
20RITI20565,6,65,6_65,1158
20RITI20566,6,66,6_66,1176
20RITI20567,6,67,6_67,1194
20RITI20568,6,68,6_68,1212
20RITI20569,6,69,6_69,1230
20RITI20570,6,70,6_70,1248
20RITI20571,6,71,6_71,1266
20RITI20572,6,72,6_72,1284
20RITI20573,6,73,6_73,1302
20RITI20574,6,74,6_74,1320
20RITI20575,6,75,6_75,1338
20RITI20576,6,76,6_76,1356
20RITI20577,6,77,6_77,1374
20RITI20578,6,78,6_78,1392
20RITI20579,6,79,6_79,1410
20RITI20580,6,80,6_80,1428
20RITI20581,6,81,6_81,1446
20RITI20582,6,82,6_82,1464
20RITI20583,6,83,6_83,1482
20RITI20584,6,84,6_84,1500
20RITI20585,6,85,6_85,1518
20RITI20586,6,86,6_86,1536
20RITI20587,6,87,6_87,1554
20RITI20588,6,88,6_88,1572
20RITI20589,6,89,6_89,1590
20RITI20590,6,90,6_90,1608
20RITI20591,6,91,6_91,1626
20RITI20592,6,92,6_92,1644
20RITI20593,6,93,6_93,1662
20RITI20594,6,94,6_94,1680
20RITI20595,6,95,6_95,1698
20RITI20596,6,96,6_96,1716
20RITI20597,6,97,6_97,1734
20RITI20598,6,98,6_98,1752
20RITI20599,6,99,6_99,1770
20RITI20600,6,100,6_100,1788
20RITI20601,7,1,7_1,7
20RITI20602,7,2,7_2,25
20RITI20603,7,3,7_3,43
20RITI20604,7,4,7_4,61
20RITI20605,7,5,7_5,79
20RITI20606,7,6,7_6,97
20RITI20607,7,7,7_7,115
20RITI20608,7,8,7_8,133
20RITI20609,7,9,7_9,151
20RITI20610,7,10,7_10,169
20RITI20611,7,11,7_11,187
20RITI20612,7,12,7_12,205
20RITI20613,7,13,7_13,223
20RITI20614,7,14,7_14,241
20RITI20615,7,15,7_15,259
20RITI20616,7,16,7_16,277
20RITI20617,7,17,7_17,295
20RITI20618,7,18,7_18,313
20RITI20619,7,19,7_19,331
20RITI20620,7,20,7_20,349
20RITI20621,7,21,7_21,367
20RITI20622,7,22,7_22,385
20RITI20623,7,23,7_23,403
20RITI20624,7,24,7_24,421
20RITI20625,7,25,7_25,439
20RITI20626,7,26,7_26,457
20RITI20627,7,27,7_27,475
20RITI20628,7,28,7_28,493
20RITI20629,7,29,7_29,511
20RITI20630,7,30,7_30,529
20RITI20631,7,31,7_31,547
20RITI20632,7,32,7_32,565
20RITI20633,7,33,7_33,583
20RITI20634,7,34,7_34,601
20RITI20635,7,35,7_35,619
20RITI20636,7,36,7_36,637
20RITI20637,7,37,7_37,655
20RITI20638,7,38,7_38,673
20RITI20639,7,39,7_39,691
20RITI20640,7,40,7_40,709
20RITI20641,7,41,7_41,727
20RITI20642,7,42,7_42,745
20RITI20643,7,43,7_43,763
20RITI20644,7,44,7_44,781
20RITI20645,7,45,7_45,799
20RITI20646,7,46,7_46,817
20RITI20647,7,47,7_47,835
20RITI20648,7,48,7_48,853
20RITI20649,7,49,7_49,871
20RITI20650,7,50,7_50,889
20RITI20651,7,51,7_51,907
20RITI20652,7,52,7_52,925
20RITI20653,7,53,7_53,943
20RITI20654,7,54,7_54,961
20RITI20655,7,55,7_55,979
20RITI20656,7,56,7_56,997
20RITI20657,7,57,7_57,1015
20RITI20658,7,58,7_58,1033
20RITI20659,7,59,7_59,1051
20RITI20660,7,60,7_60,1069
20RITI20661,7,61,7_61,1087
20RITI20662,7,62,7_62,1105
20RITI20663,7,63,7_63,1123
20RITI20664,7,64,7_64,1141
20RITI20665,7,65,7_65,1159
20RITI20666,7,66,7_66,1177
20RITI20667,7,67,7_67,1195
20RITI20668,7,68,7_68,1213
20RITI20669,7,69,7_69,1231
20RITI20670,7,70,7_70,1249
20RITI20671,7,71,7_71,1267
20RITI20672,7,72,7_72,1285
20RITI20673,7,73,7_73,1303
20RITI20674,7,74,7_74,1321
20RITI20675,7,75,7_75,1339
20RITI20676,7,76,7_76,1357
20RITI20677,7,77,7_77,1375
20RITI20678,7,78,7_78,1393
20RITI20679,7,79,7_79,1411
20RITI20680,7,80,7_80,1429
20RITI20681,7,81,7_81,1447
20RITI20682,7,82,7_82,1465
20RITI20683,7,83,7_83,1483
20RITI20684,7,84,7_84,1501
20RITI20685,7,85,7_85,1519
20RITI20686,7,86,7_86,1537
20RITI20687,7,87,7_87,1555
20RITI20688,7,88,7_88,1573
20RITI20689,7,89,7_89,1591
20RITI20690,7,90,7_90,1609
20RITI20691,7,91,7_91,1627
20RITI20692,7,92,7_92,1645
20RITI20693,7,93,7_93,1663
20RITI20694,7,94,7_94,1681
20RITI20695,7,95,7_95,1699
20RITI20696,7,96,7_96,1717
20RITI20697,7,97,7_97,1735
20RITI20698,7,98,7_98,1753
20RITI20699,7,99,7_99,1771
20RITI20700,7,100,7_100,1789
20RITI20701,8,1,8_1,8
20RITI20702,8,2,8_2,26
20RITI20703,8,3,8_3,44
20RITI20704,8,4,8_4,62
20RITI20705,8,5,8_5,80
20RITI20706,8,6,8_6,98
20RITI20707,8,7,8_7,116
20RITI20708,8,8,8_8,134
20RITI20709,8,9,8_9,152
20RITI20710,8,10,8_10,170
20RITI20711,8,11,8_11,188
20RITI20712,8,12,8_12,206
20RITI20713,8,13,8_13,224
20RITI20714,8,14,8_14,242
20RITI20715,8,15,8_15,260
20RITI20716,8,16,8_16,278
20RITI20717,8,17,8_17,296
20RITI20718,8,18,8_18,314
20RITI20719,8,19,8_19,332
20RITI20720,8,20,8_20,350
20RITI20721,8,21,8_21,368
20RITI20722,8,22,8_22,386
20RITI20723,8,23,8_23,404
20RITI20724,8,24,8_24,422
20RITI20725,8,25,8_25,440
20RITI20726,8,26,8_26,458
20RITI20727,8,27,8_27,476
20RITI20728,8,28,8_28,494
20RITI20729,8,29,8_29,512
20RITI20730,8,30,8_30,530
20RITI20731,8,31,8_31,548
20RITI20732,8,32,8_32,566
20RITI20733,8,33,8_33,584
20RITI20734,8,34,8_34,602
20RITI20735,8,35,8_35,620
20RITI20736,8,36,8_36,638
20RITI20737,8,37,8_37,656
20RITI20738,8,38,8_38,674
20RITI20739,8,39,8_39,692
20RITI20740,8,40,8_40,710
20RITI20741,8,41,8_41,728
20RITI20742,8,42,8_42,746
20RITI20743,8,43,8_43,764
20RITI20744,8,44,8_44,782
20RITI20745,8,45,8_45,800
20RITI20746,8,46,8_46,818
20RITI20747,8,47,8_47,836
20RITI20748,8,48,8_48,854
20RITI20749,8,49,8_49,872
20RITI20750,8,50,8_50,890
20RITI20751,8,51,8_51,908
20RITI20752,8,52,8_52,926
20RITI20753,8,53,8_53,944
20RITI20754,8,54,8_54,962
20RITI20755,8,55,8_55,980
20RITI20756,8,56,8_56,998
20RITI20757,8,57,8_57,1016
20RITI20758,8,58,8_58,1034
20RITI20759,8,59,8_59,1052
20RITI20760,8,60,8_60,1070
20RITI20761,8,61,8_61,1088
20RITI20762,8,62,8_62,1106
20RITI20763,8,63,8_63,1124
20RITI20764,8,64,8_64,1142
20RITI20765,8,65,8_65,1160
20RITI20766,8,66,8_66,1178
20RITI20767,8,67,8_67,1196
20RITI20768,8,68,8_68,1214
20RITI20769,8,69,8_69,1232
20RITI20770,8,70,8_70,1250
20RITI20771,8,71,8_71,1268
20RITI20772,8,72,8_72,1286
20RITI20773,8,73,8_73,1304
20RITI20774,8,74,8_74,1322
20RITI20775,8,75,8_75,1340
20RITI20776,8,76,8_76,1358
20RITI20777,8,77,8_77,1376
20RITI20778,8,78,8_78,1394
20RITI20779,8,79,8_79,1412
20RITI20780,8,80,8_80,1430
20RITI20781,8,81,8_81,1448
20RITI20782,8,82,8_82,1466
20RITI20783,8,83,8_83,1484
20RITI20784,8,84,8_84,1502
20RITI20785,8,85,8_85,1520
20RITI20786,8,86,8_86,1538
20RITI20787,8,87,8_87,1556
20RITI20788,8,88,8_88,1574
20RITI20789,8,89,8_89,1592
20RITI20790,8,90,8_90,1610
20RITI20791,8,91,8_91,1628
20RITI20792,8,92,8_92,1646
20RITI20793,8,93,8_93,1664
20RITI20794,8,94,8_94,1682
20RITI20795,8,95,8_95,1700
20RITI20796,8,96,8_96,1718
20RITI20797,8,97,8_97,1736
20RITI20798,8,98,8_98,1754
20RITI20799,8,99,8_99,1772
