plot,gsdplot,
20RITI20512,87.12,
20RITI20513,66.38,
20RITI20514,56.8,
20RITI20515,50.92,
20RITI20516,88.73,
20RITI20517,99.71,
20RITI20518,62.17,
20RITI20519,12.2,
20RITI20520,36.22,
20RITI20521,0.07,
20RITI20522,44.12,
20RITI20523,31.93,
20RITI20524,0.05,
20RITI20525,49.61,
20RITI20526,38.89,
20RITI20527,13.51,
20RITI20528,13.42,
20RITI20529,86.88,
20RITI20530,0.71,
20RITI20531,17.57,
20RITI20532,25.49,
20RITI20533,26.79,
20RITI20534,3.66,
20RITI20535,36.53,
20RITI20536,73.14,
20RITI20537,25.17,
20RITI20538,0.18,
20RITI20539,131,
20RITI20540,123.36,
20RITI20541,59.38,
20RITI20542,50.28,
20RITI20543,72.22,
20RITI20544,86.7,
20RITI20545,32.61,
20RITI20546,77.9,
20RITI20547,59.98,
20RITI20548,87.96,
20RITI20549,44.42,
20RITI20550,84.05,
20RITI20551,85.28,
20RITI20552,92.36,
20RITI20553,33.43,
20RITI20554,64.31,
20RITI20555,41.03,
20RITI20556,75.65,
20RITI20557,88.66,
20RITI20558,63.09,
20RITI20559,31.95,
20RITI20560,55.31,
20RITI20561,33.89,
20RITI20562,76.31,
20RITI20563,33.33,
20RITI20564,0,
20RITI20565,14.47,
20RITI20566,56.1,
20RITI20567,5.82,
20RITI20568,37.23,
20RITI20569,60.16,
20RITI20570,26.05,
20RITI20571,15.1,
20RITI20572,71.47,
20RITI20573,77.55,
20RITI20574,5.13,
20RITI20575,2.6,
20RITI20576,3.51,
20RITI20577,1.62,
20RITI20578,1.4,
20RITI20579,0.57,
20RITI20580,0.37,
20RITI20581,4.74,
20RITI20582,4.51,
20RITI20583,49.59,
20RITI20584,53.33,
20RITI20585,69.04,
20RITI20586,83.55,
20RITI20587,88.49,
20RITI20588,66.7,
20RITI20589,32.76,
20RITI20590,79.32,
20RITI20591,27.4,
20RITI20592,2.45,
20RITI20593,3.85,
20RITI20594,6.01,
20RITI20595,4.47,
20RITI20596,13.34,
20RITI20597,20.21,
20RITI20598,70.11,
20RITI20599,28.65,
20RITI20600,2.32,
20RITI20601,85.92,
20RITI20602,97.1,
20RITI20603,84.1,
20RITI20604,12.29,
20RITI20605,41.55,
20RITI20606,23,
20RITI20607,14.02,
20RITI20608,19.94,
20RITI20609,15.13,
20RITI20610,0.25,
20RITI20611,78.9,
20RITI20612,79.95,
20RITI20613,97.2,
20RITI20614,99.81,
20RITI20615,59.01,
20RITI20616,1.56,
20RITI20617,37.48,
20RITI20618,64.95,
20RITI20619,53.75,
20RITI20620,43.83,
20RITI20621,26.84,
20RITI20622,17.07,
20RITI20623,25.46,
20RITI20624,34.67,
20RITI20625,32.65,
20RITI20626,15.04,
20RITI20627,43.74,
20RITI20628,5.44,
20RITI20629,20.01,
20RITI20630,17.48,
20RITI20631,13.99,
20RITI20632,36.39,
20RITI20633,25.4,
20RITI20634,38.63,
20RITI20635,33.23,
20RITI20636,12.14,
20RITI20637,23.38,
20RITI20638,60.53,
20RITI20639,55.87,
20RITI20640,85.88,
20RITI20641,75.5,
20RITI20642,62.45,
20RITI20643,60.18,
20RITI20644,0.18,
20RITI20645,40.15,
20RITI20646,86.84,
20RITI20647,61.81,
20RITI20648,82.69,
