fid,left,top,right,bottom,id,BI2022_06_21,SCI2022_06_21,GLI2022_06_21,HI2022_06_21,NGRDI2022_06_21,SI2022_06_21,VARI2022_06_21,HUE2022_06_21,BGI2022_06_21,PSRI2022_06_21,NDVI2022_06_21,GNDVI2022_06_21,RVI2022_06_21,NDRE2022_06_21,TVI2022_06_21,CVI2022_06_21,EVI2022_06_21,CIG2022_06_21,CIRE2022_06_21,DVI2022_06_21,GR2022_06_21,NGBDI2022_06_21,BGI22022_06_21,RGBVI2022_06_21,GRVI2022_06_21,EXG2022_06_21,MGRVI2022_06_21,GLA2022_06_21,IHS2022_06_21
"26",431034.0546,4637745.8622,431037.0546,4637744.9522,"1775",1837.21789550781,0.0623116828501225,0.287411957979202,-0.725337088108063,0.26366063952446,0.0623116828501225,0.393251121044159,-1.57078731060028,0.53047376871109,-0.0610829591751099,0.618789672851562,0.398071378469467,4.24644756317139,-0.420452207326889,267176.3125,1.45833158493042,2.23274636268616,1.32265305519104,-0.591997683048248,-8306.0048828125,0.582703411579132,0.306784898042679,0.53047376871109,0.533510088920593,0.26366063952446,1831.38623046875,0.493046224117279,0.287411957979202,1723.86242675781
"27",431034.0546,4637744.9522,431037.0546,4637744.0422,"1774",2444.93798828125,0.187336698174477,0.115844652056694,0.669569134712219,0.030752956867218,0.187336698174477,0.0465412549674511,-1.57071781158447,0.602535784244537,-0.0158019848167896,0.322629243135452,0.332766681909561,1.95259392261505,-0.27956485748291,124240.265625,1.79182231426239,0.82073301076889,0.997452259063721,-0.436968624591827,-3798.01245117188,0.940329134464264,0.248022064566612,0.602535784244537,0.250700414180756,0.030752956867218,817.554321289062,0.06144779920578,0.115844652056694,2355.0146484375
"28",431034.0546,4637744.0422,431037.0546,4637743.1322,"1773",1716.24157714844,0.0194195043295622,0.253956735134125,-0.893953084945679,0.250815004110336,0.0194195043295622,0.394719660282135,-1.57078230381012,0.590850412845612,-0.0572235770523548,0.592494785785675,0.367637902498245,3.90791249275208,-0.418923676013947,207455.546875,1.41328060626984,2.49711799621582,1.1627448797226,-0.590480864048004,-6627.78759765625,0.598957479000092,0.257189184427261,0.590850412845612,0.479025542736053,0.250815004110336,1425.18176269531,0.471941024065018,0.253956735134125,1632.92077636719
"29",431034.0546,4637743.1322,431037.0546,4637742.2222,"1772",1788.94201660156,0.095041885972023,0.230747789144516,-0.441157072782516,0.186619237065315,0.095041885972023,0.279932349920273,-1.57077991962433,0.580888271331787,-0.0488858968019485,0.538609743118286,0.371332734823227,3.33472537994385,-0.37306073307991,203744.9375,1.54962182044983,1.81338238716125,1.18133318424225,-0.543400228023529,-5574.28173828125,0.68546062707901,0.265111535787582,0.580888271331787,0.443185955286026,0.186619237065315,1346.17919921875,0.360677272081375,0.230747789144516,1700.78515625
"30",431034.0546,4637742.2222,431037.0546,4637741.3122,"1771",1769.41223144531,0.0858374536037445,0.230866923928261,-0.508727252483368,0.194597125053406,0.0858374536037445,0.29515215754509,-1.5707790851593,0.586276113986969,-0.0427039451897144,0.566143810749054,0.38466340303421,3.60982275009155,-0.420661419630051,214307.921875,1.65454363822937,1.96061062812805,1.25025367736816,-0.592204988002777,-7356.29052734375,0.674204587936401,0.260814547538757,0.586276113986969,0.441836208105087,0.194597125053406,1315.69384765625,0.374993979930878,0.230866923928261,1686.35119628906
"31",431034.0546,4637741.3122,431037.0546,4637740.4022,"1770",3034.62060546875,0.213936567306519,0.0490637421607971,1.70240604877472,-0.0475456602871418,0.213936567306519,-0.072286456823349,1.57078516483307,0.691212356090546,0.0399425141513348,0.210254177451134,0.270626842975616,1.5324604511261,-0.215928584337234,97525.7421875,1.80633461475372,0.465955555438995,0.742080628871918,-0.355166554450989,-3086.56420898438,1.09983825683594,0.18258361518383,0.691212356090546,0.124226316809654,-0.0475456602871418,602.944213867188,-0.0948768481612206,0.0490637421607971,2956.00561523438
"32",431034.0546,4637740.4022,431037.0546,4637739.4922,"1769",1555.00366210938,0.02702771499753,0.250311732292175,-0.854992210865021,0.243867322802544,0.02702771499753,0.380284368991852,-1.5707825422287,0.598776698112488,-0.05441939458251,0.588745176792145,0.373835772275925,3.86316537857056,-0.444778770208359,210937.390625,1.44120466709137,2.52334141731262,1.19405031204224,-0.615705013275146,-7171.890625,0.607888519763947,0.250956445932388,0.598776698112488,0.472697764635086,0.243867322802544,1409.92126464844,0.460356652736664,0.250311732292175,1480.96923828125
"33",431034.0546,4637739.4922,431037.0546,4637738.5822,"1768",1716.7236328125,0.0846738070249557,0.219655364751816,-0.497041821479797,0.186687827110291,0.0846738070249557,0.286624312400818,-1.57077634334564,0.608680665493011,-0.0478970780968666,0.536935985088348,0.369940191507339,3.31905722618103,-0.399881333112717,178822.484375,1.55854570865631,1.81320095062256,1.17430186271667,-0.571307480335236,-5629.2646484375,0.685363233089447,0.243254810571671,0.608680665493011,0.423919856548309,0.186687827110291,1200.88110351562,0.360800892114639,0.219655364751816,1630.69689941406
"34",431034.0546,4637738.5822,431037.0546,4637737.6722,"1767",1525.18725585938,-0.0442155860364437,0.301597595214844,-1.20865774154663,0.324942111968994,-0.0442155860364437,0.516853213310242,-1.5707859992981,0.566046476364136,-0.0603790916502476,0.660014867782593,0.409946084022522,4.88261032104492,-0.50069922208786,254846.28125,1.26170742511749,3.4017117023468,1.38952076435089,-0.667287945747375,-9862.298828125,0.509499907493591,0.277101308107376,0.566046476364136,0.554875075817108,0.324942111968994,1712.41015625,0.587818026542664,0.301597595214844,1436.73815917969
"35",431034.0546,4637737.6722,431037.0546,4637736.7622,"1766",1687.51416015625,0.0481421612203121,0.269730746746063,-0.765482068061829,0.255683481693268,0.0481421612203121,0.389266639947891,-1.57078242301941,0.57065349817276,-0.0611785873770714,0.584987044334412,0.372186303138733,3.81912660598755,-0.417523920536041,218747.09375,1.3718626499176,2.1551194190979,1.18565845489502,-0.589089035987854,-6940.7880859375,0.592758119106293,0.273355334997177,0.57065349817276,0.505804359912872,0.255683481693268,1535.30554199219,0.479988157749176,0.269730746746063,1597.12902832031
